nct_id,pmid,pubmed_year,pubmed_journal,pubmed_title
NCT01360866,37656180,2023,The Journal of clinical psychiatry,Changes in Metabolic Parameters and Body Weight in Patients With Prediabetes Treated With Adjunctive Brexpiprazole for Major Depressive Disorder: Pooled Analysis of Short- and Long-Term Clinical Studies.
NCT01360866,31577867,2019,The Journal of clinical psychiatry,Changes in Metabolic Parameters and Body Weight in Patients With Major Depressive Disorder Treated With Adjunctive Brexpiprazole: Pooled Analysis of Phase 3 Clinical Studies.
NCT00245557,26891040,2016,International journal of geriatric psychiatry,Brain levels of high-energy phosphate metabolites and executive function in geriatric depression.
NCT03414931,35023557,2022,The international journal of neuropsychopharmacology,"Effects of Sodium Benzoate, a D-Amino Acid Oxidase Inhibitor, on Perceived Stress and Cognitive Function Among Patients With Late-Life Depression: A Randomized, Double-Blind, Sertraline- and Placebo-Controlled Trial."
NCT04094870,35803896,2022,Journal of the International AIDS Society,Interpersonal therapy versus antidepressant medication for treatment of postpartum depression and anxiety among women with HIV in Zambia: a randomized feasibility trial.
NCT01032434,23994660,2013,Progress in neuro-psychopharmacology & biological psychiatry,"Sertraline and rapid eye movement sleep without atonia: an 8-week, open-label study of depressed patients."
NCT00406952,22541039,2012,Biological psychiatry,Vocal acoustic biomarkers of depression severity and treatment response.
NCT00086138,20087081,2010,The American journal of geriatric psychiatry : official journal of the American Association for Geriatric Psychiatry,Sertraline for the treatment of depression in Alzheimer disease.
NCT00086138,20672243,2011,International journal of geriatric psychiatry,Do treatment effects vary among differing baseline depression criteria in depression in Alzheimer's disease study ± 2 (DIADS-2)?
NCT00086138,17068314,2006,The American journal of geriatric psychiatry : official journal of the American Association for Geriatric Psychiatry,Design of Depression in Alzheimer's Disease Study-2.
NCT01032018,23471421,2013,JAMA internal medicine,"Centralized, stepped, patient preference-based treatment for patients with post-acute coronary syndrome depression: CODIACS vanguard randomized controlled trial."
NCT00375843,11772700,2002,The American journal of psychiatry,Changes in brain function of depressed subjects during treatment with placebo.
NCT00375843,12062912,2002,Neuropsychopharmacology : official publication of the American College of Neuropsychopharmacology,Early changes in prefrontal activity characterize clinical responders to antidepressants.
NCT02417064,38557430,2024,CNS spectrums,Effects of esketamine nasal spray on depressive symptom severity in adults with treatment-resistant depression and associations between the Montgomery-Åsberg Depression Rating Scale and the 9-item Patient Health Questionnaire.
NCT02417064,37019044,2023,Psychiatry research,Predictors of response and remission in patients with treatment-resistant depression: A post hoc pooled analysis of two acute trials of esketamine nasal spray.
NCT02417064,36273682,2023,Journal of affective disorders,Intranasal esketamine effectively treats treatment-resistant depression in adults regardless of baseline irritability.
NCT02417064,35022754,2022,The international journal of neuropsychopharmacology,Relationship Between Dissociation and Antidepressant Effects of Esketamine Nasal Spray in Patients With Treatment-Resistant Depression.
NCT02417064,34973081,2022,Archives of women's mental health,"Efficacy and safety of esketamine nasal spray by sex in patients with treatment-resistant depression: findings from short-term randomized, controlled trials."
NCT02417064,34510411,2021,The Cochrane database of systematic reviews,Ketamine and other glutamate receptor modulators for depression in adults with unipolar major depressive disorder.
NCT02417064,34288609,2021,The Journal of clinical psychiatry,Treatment Response With Esketamine Nasal Spray Plus an Oral Antidepressant in Patients With Treatment-Resistant Depression Without Evidence of Early Response: A Pooled Post Hoc Analysis of the TRANSFORM Studies.
NCT02417064,34235612,2021,CNS drugs,"Effect of Esketamine Nasal Spray on Olfactory Function and Nasal Tolerability in Patients with Treatment-Resistant Depression: Results from Four Multicenter, Randomized, Double-Blind, Placebo-Controlled, Phase III Studies."
NCT02417064,33128208,2021,Clinical pharmacokinetics,Population Pharmacokinetics of Esketamine Nasal Spray and its Metabolite Noresketamine in Healthy Subjects and Patients with Treatment-Resistant Depression.
NCT02417064,32860422,2021,Clinical pharmacology and therapeutics,Benefit-Risk Assessment of Esketamine Nasal Spray vs. Placebo in Treatment-Resistant Depression.
NCT02417064,32367114,2020,The international journal of neuropsychopharmacology,Effects of Mu-Opiate Receptor Gene Polymorphism rs1799971 (A118G) on the Antidepressant and Dissociation Responses in Esketamine Nasal Spray Clinical Trials.
NCT02417064,31290965,2019,The international journal of neuropsychopharmacology,"Efficacy and Safety of Fixed-Dose Esketamine Nasal Spray Combined With a New Oral Antidepressant in Treatment-Resistant Depression: Results of a Randomized, Double-Blind, Active-Controlled Study (TRANSFORM-1)."
NCT01569685,27825327,2016,BMC psychiatry,Treatment of trauma-affected refugees with venlafaxine versus sertraline combined with psychotherapy - a randomised study.
NCT01569685,23663588,2013,Trials,Treatment of traumatized refugees with sertraline versus venlafaxine in combination with psychotherapy - study protocol for a randomized clinical trial.
NCT00026637,33860531,2021,The Cochrane database of systematic reviews,Antidepressants for people with epilepsy and depression.
NCT01427608,37258617,2023,Molecular psychiatry,Effects of antipsychotic medication on functional connectivity in major depressive disorder with psychotic features.
NCT01427608,37149056,2023,Journal of affective disorders,The relationship of white matter microstructure with psychomotor disturbance and relapse in remitted psychotic depression.
NCT01427608,36535116,2023,Journal of psychiatric research,Predictors of relapse of psychotic depression: Findings from the STOP-PD II randomized clinical trial.
NCT01427608,32101271,2020,JAMA psychiatry,Effects of Antipsychotic Medication on Brain Structure in Patients With Major Depressive Disorder and Psychotic Features: Neuroimaging Findings in the Context of a Randomized Placebo-Controlled Clinical Trial.
NCT01427608,31429896,2019,JAMA,Effect of Continuing Olanzapine vs Placebo on Relapse Among Patients With Psychotic Depression in Remission: The STOP-PD II Randomized Clinical Trial.
NCT01427608,31207561,2019,Journal of affective disorders,Health-related quality of life in remitted psychotic depression
NCT01427608,23351522,2013,BMC psychiatry,"Sustaining remission of psychotic depression: rationale, design and methodology of STOP-PD II."
NCT00158990,17548749,2007,Archives of general psychiatry,"Combined treatment with sertraline and liothyronine in major depression: a randomized, double-blind, placebo-controlled trial."
NCT02418585,41245530,2025,EClinicalMedicine,Efficacy of intranasal esketamine versus rTMS for treatment-resistant depression: analysis of individual participant data from two clinical trials.
NCT02418585,38557430,2024,CNS spectrums,Effects of esketamine nasal spray on depressive symptom severity in adults with treatment-resistant depression and associations between the Montgomery-Åsberg Depression Rating Scale and the 9-item Patient Health Questionnaire.
NCT02418585,37158911,2023,Health and quality of life outcomes,Assessment of health-related quality of life and health status in patients with treatment-resistant depression treated with esketamine nasal spray plus an oral antidepressant.
NCT02418585,37019044,2023,Psychiatry research,Predictors of response and remission in patients with treatment-resistant depression: A post hoc pooled analysis of two acute trials of esketamine nasal spray.
NCT02418585,36273682,2023,Journal of affective disorders,Intranasal esketamine effectively treats treatment-resistant depression in adults regardless of baseline irritability.
NCT02418585,35441931,2022,CNS drugs,Evaluation of Individual Items of the Patient Health Questionnaire (PHQ-9) and Montgomery-Asberg Depression Rating Scale (MADRS) in Adults with Treatment-Resistant Depression Treated with Esketamine Nasal Spray Combined with a New Oral Antidepressant.
NCT02418585,35022754,2022,The international journal of neuropsychopharmacology,Relationship Between Dissociation and Antidepressant Effects of Esketamine Nasal Spray in Patients With Treatment-Resistant Depression.
NCT02418585,34973081,2022,Archives of women's mental health,"Efficacy and safety of esketamine nasal spray by sex in patients with treatment-resistant depression: findings from short-term randomized, controlled trials."
NCT02418585,34510411,2021,The Cochrane database of systematic reviews,Ketamine and other glutamate receptor modulators for depression in adults with unipolar major depressive disorder.
NCT02418585,34293233,2021,Depression and anxiety,The effect of esketamine in patients with treatment-resistant depression with and without comorbid anxiety symptoms or disorder.
NCT02418585,34288609,2021,The Journal of clinical psychiatry,Treatment Response With Esketamine Nasal Spray Plus an Oral Antidepressant in Patients With Treatment-Resistant Depression Without Evidence of Early Response: A Pooled Post Hoc Analysis of the TRANSFORM Studies.
NCT02418585,34235612,2021,CNS drugs,"Effect of Esketamine Nasal Spray on Olfactory Function and Nasal Tolerability in Patients with Treatment-Resistant Depression: Results from Four Multicenter, Randomized, Double-Blind, Placebo-Controlled, Phase III Studies."
NCT02418585,33128208,2021,Clinical pharmacokinetics,Population Pharmacokinetics of Esketamine Nasal Spray and its Metabolite Noresketamine in Healthy Subjects and Patients with Treatment-Resistant Depression.
NCT02418585,32860422,2021,Clinical pharmacology and therapeutics,Benefit-Risk Assessment of Esketamine Nasal Spray vs. Placebo in Treatment-Resistant Depression.
NCT02418585,32367114,2020,The international journal of neuropsychopharmacology,Effects of Mu-Opiate Receptor Gene Polymorphism rs1799971 (A118G) on the Antidepressant and Dissociation Responses in Esketamine Nasal Spray Clinical Trials.
NCT02418585,31109201,2019,The American journal of psychiatry,Efficacy and Safety of Flexibly Dosed Esketamine Nasal Spray Combined With a Newly Initiated Oral Antidepressant in Treatment-Resistant Depression: A Randomized Double-Blind Active-Controlled Study.
NCT01033084,20854930,2011,Contemporary clinical trials,"Sertraline vs. ELectrical Current Therapy for Treating Depression Clinical Trial--SELECT TDCS: design, rationale and objectives."
NCT01033084,23759172,2013,The international journal of neuropsychopharmacology,Heart rate variability is a trait marker of major depressive disorder: evidence from the sertraline vs. electric current therapy to treat depression clinical study.
NCT01033084,23389323,2013,JAMA psychiatry,"The sertraline vs. electrical current therapy for treating depression clinical study: results from a factorial, randomized, controlled trial."
NCT00612807,2378693,1990,Psychology and aging,Retrospective assessment of marital adjustment and depression during the first 2 years of spousal bereavement.
NCT00612807,1550090,1992,American journal of epidemiology,Social support and depressive symptoms in the elderly.
NCT00612807,8749590,1995,Psychology and aging,Depressive symptoms across older spouses and the moderating effect of marital closeness.
NCT00612807,10439302,1999,Harvard review of psychiatry,Pharmacological and psychological treatments for depressed older patients: a meta-analysis and overview of recent findings.
NCT00612807,6829547,1983,American journal of epidemiology,Prevalence of depression and its correlates in older adults.
NCT00612807,3942473,1986,Archives of general psychiatry,Cognitive therapy and pharmacotherapy for depression. Sustained improvement over one year.
NCT00612807,2647712,1989,The Journal of clinical psychiatry,Current status of antidepressants: clinical pharmacology and therapy.
NCT00612807,8034832,1994,Journal of consulting and clinical psychology,Efficacy of psychosocial treatments for geriatric depression: a quantitative review.
NCT00612807,9366657,1997,Archives of general psychiatry,Treatment of major depression with psychotherapy or psychotherapy-pharmacotherapy combinations.
NCT00612807,9892449,1999,JAMA,Nortriptyline and interpersonal psychotherapy as maintenance therapies for recurrent major depression: a randomized controlled trial in patients older than 59 years.
